,City,Latitude,Longitude,Latitude_num,Longitude_num,avg_d_kbps
103,AR: Buenos Aires-La Matanza-San Justo,-34.68083333333333,-58.56361111111111,-34.68083333333333,-58.56361111111111,31912
104,AR: Buenos Aires-Benito Juárez,-37.5,-59.916666666666664,-37.5,-59.916666666666664,5880
105,AR: Buenos Aires-Ezeiza (GBA),0.0,0.0,0.0,0.0,343
106,AR: Jujuy-Dr. Manuel Belgrano,0.0,0.0,0.0,0.0,343
107,AR: Misiones-Eldorado,-26.40833333333333,-54.69444444444444,-26.40833333333333,-54.69444444444444,4061
108,AR: Buenos Aires-Pinamar,-37.11027777777778,-56.855000000000004,-37.11027777777778,-56.855000000000004,6788
109,AR: Buenos Aires-Tandil,-37.328611111111115,-59.13666666666666,-37.328611111111115,-59.13666666666666,42445
110,AR: Chaco-Comandante Fernández,-26.833333333333332,-60.5,-26.833333333333332,-60.5,18736
111,AR: Entre Ríos-Federación,-30.754722222222224,-57.981944444444444,-30.754722222222224,-57.981944444444444,34532
112,AR: Buenos Aires-12 de Octubre,-35.60666666666667,-60.918055555555554,-35.60666666666667,-60.918055555555554,2969
113,AR: Misiones-Guaraní,-27.166666666666668,-54.166666666666664,-27.166666666666668,-54.166666666666664,4980
114,AR: Córdoba-Río Primero,-31.083333333333332,-63.5,-31.083333333333332,-63.5,16857
115,AR: Buenos Aires-Zárate,-34.09583333333334,-59.024166666666666,-34.09583333333334,-59.024166666666666,62845
116,AR: Buenos Aires-Luján,-34.56638888888889,-59.11472222222223,-34.56638888888889,-59.11472222222223,36959
117,AR: Buenos Aires-Mercedes,-34.650555555555556,-59.43138888888889,-34.650555555555556,-59.43138888888889,44178
118,AR: Río Negro-Pichi Mahuida,-39.5,-64.5,-39.5,-64.5,41255
119,AR: Santa Fé-Santa Fé,-31.648611111111112,-60.70861111111111,-31.648611111111112,-60.70861111111111,33176
120,AR: Santa Fé-General Obligado,-28.75,-59.75,-28.75,-59.75,7766
121,AR: Buenos Aires-San Andrés de Giles,-34.5,-59.5,-34.5,-59.5,3269
122,AR: Misiones-Candelaria,-27.5,-55.5,-27.5,-55.5,9291
123,AR: Buenos Aires-San Nicolás,-33.33416666666667,-60.21055555555556,-33.33416666666667,-60.21055555555556,56032
124,AR: San Juan-Jáchal,-30.5,-68.5,-30.5,-68.5,1966
125,AR: Tucumán-Bella vista,-27.034166666666668,-65.30194444444444,-27.034166666666668,-65.30194444444444,3602
126,AR: Mendoza-Las Heras,-32.65361111111111,-70.01138888888889,-32.65361111111111,-70.01138888888889,19301
127,AR: Neuquén-Huiliches,-39.75,-71.33333333333333,-39.75,-71.33333333333333,1012
128,AR: Catamarca-Valle Viejo,-28.583333333333332,-65.75,-28.583333333333332,-65.75,5832
129,AR: La Rioja-Chilecito,-29.223888888888887,-67.4388888888889,-29.223888888888887,-67.4388888888889,19564
130,AR: Chubut-Gaiman,-43.333333333333336,-66.33333333333333,-43.333333333333336,-66.33333333333333,5049
131,AR: Salta-General Güemes,-24.794444444444448,-64.94388888888889,-24.794444444444448,-64.94388888888889,1735
132,AR: Córdoba-Calamuchita,-32.25,-64.58333333333333,-32.25,-64.58333333333333,1948
133,AR: Santa Cruz-Lago Argentino,-50.21666666666667,-72.41666666666667,-50.21666666666667,-72.41666666666667,12472
134,AR: San Luis-General Pedernera,-33.675555555555555,-65.45777777777778,-33.675555555555555,-65.45777777777778,11546
135,AR: Buenos Aires-Trenque Lauquen,-36.0,-62.666666666666664,-36.0,-62.666666666666664,8467
136,AR: Buenos Aires-Chivilcoy,-34.89666666666667,-60.01888888888889,-34.89666666666667,-60.01888888888889,33936
137,AR: Entre Ríos-Concepción del Uruguay,-32.48444444444444,-58.231944444444444,-32.48444444444444,-58.231944444444444,22238
138,AR: Buenos Aires-Chacabuco,-34.666666666666664,-60.333333333333336,-34.666666666666664,-60.333333333333336,107
139,AR: Buenos Aires-Baradero,-33.833333333333336,-59.5,-33.833333333333336,-59.5,2027
140,AR: Entre Ríos-Villaguay,-31.583333333333332,-59.0,-31.583333333333332,-59.0,6300
141,AR: Misiones-San Ignacio,-27.25,-55.333333333333336,-27.25,-55.333333333333336,1600
142,AR: Río Negro-Pilcaniyeu,-40.75,-70.5,-40.75,-70.5,5600
143,AR: Santiago del Estero-Río Hondo-Jiménez,-27.570833333333333,-64.47722222222222,-27.570833333333333,-64.47722222222222,1310
144,AR: La Pampa-Conhelo,-36.0,-64.5,-36.0,-64.5,6556
145,AR: Buenos Aires-General Villegas,-34.75,-63.0,-34.75,-63.0,2238
146,AR: Chubut-Biedma,-42.76833333333333,-65.03805555555556,-42.76833333333333,-65.03805555555556,13987
147,AR: Buenos Aires-Belgrano,-34.5625,-58.45805555555556,-34.5625,-58.45805555555556,59914
148,AR: Tierra del Fuego-Ushuaia,-54.81083333333333,-68.31583333333333,-54.81083333333333,-68.31583333333333,8092
149,AR: Buenos Aires-Olavarría,-36.89361111111111,-60.323055555555555,-36.89361111111111,-60.323055555555555,40115
150,AR: Entre Ríos-Islas del Ibicuy,-33.723888888888894,-58.659444444444446,-33.723888888888894,-58.659444444444446,113
151,AR: Jujuy-El Carmen,-24.392777777777777,-65.09777777777778,-24.392777777777777,-65.09777777777778,13507
152,AR: Mendoza-Rivadavia,-33.22833333333333,-68.4738888888889,-33.22833333333333,-68.4738888888889,3657
153,AR: Chubut-Rawson,-43.3,-65.10222222222221,-43.3,-65.10222222222221,1582
154,AR: Buenos Aires-Coronel de Marina L. Rosales,0.0,0.0,0.0,0.0,343
155,AR: Buenos Aires-Cañuelas,-35.083333333333336,-58.75,-35.083333333333336,-58.75,176181
156,AR: Misiones-Leandro N. Alem,-27.566666666666666,-55.333333333333336,-27.566666666666666,-55.333333333333336,5822
157,AR: Santa Cruz-Güer Aike,-51.6225,-69.21805555555555,-51.6225,-69.21805555555555,23615
158,AR: Catamarca-Ambato,-28.0,-65.91666666666667,-28.0,-65.91666666666667,960
159,AR: Misiones-República del Paraguay-Aristóbulo del Valle-Iglesia,0.0,0.0,0.0,0.0,343
160,AR: Buenos Aires-Exaltación de la Cruz,-34.25,-59.25,-34.25,-59.25,16588
161,AR: Río Negro-Carmen de Patagones,0.0,0.0,0.0,0.0,343
162,AR: Formosa-Pilcomayo,-25.5,-58.083333333333336,-25.5,-58.083333333333336,6989
163,AR: Buenos Aires-Coronel Pringles,-38.25,-61.333333333333336,-38.25,-61.333333333333336,1878
164,AR: Corrientes-Esquina,-30.0,-59.333333333333336,-30.0,-59.333333333333336,492
165,AR: Catamarca-Fray Mamerto Esquiú,-28.3,-65.75,-28.3,-65.75,2052
166,AR: Chaco-Grl. José de San Martín,0.0,0.0,0.0,0.0,343
167,AR: Córdoba-Marcos Juárez-Cruz Alta,-33.007777777777775,-61.808055555555555,-33.007777777777775,-61.808055555555555,6573
168,AR: Buenos Aires-General Rodriguez,-34.666666666666664,-59.0,-34.666666666666664,-59.0,19364
169,AR: Santa Fé-San Lorenzo,-33.0,-61.0,-33.0,-61.0,6756
170,AR: Buenos Aires-Balcarce,-37.75,-58.25,-37.75,-58.25,2452
171,AR: Misiones-Libertador General San Martín-San Alberto,-26.80888888888889,-55.021388888888886,-26.80888888888889,-55.021388888888886,8961
172,AR: La Rioja-Rosario Vera Peñaloza,-31.416666666666668,-66.66666666666667,-31.416666666666668,-66.66666666666667,1932
173,AR: Neuquén-Lácar,-40.25,-71.2,-40.25,-71.2,3645
174,AR: Tucumán-Chicligasta,-27.333333333333332,-65.58333333333333,-27.333333333333332,-65.58333333333333,5698
175,AR: Buenos Aires-San Nicolás-Plaza Lavalle,0.0,0.0,0.0,0.0,343
176,AR: Salta-Rosario de Lerma,-24.583333333333332,-65.83333333333333,-24.583333333333332,-65.83333333333333,4203
177,AR: La Pampa-Rancul,-35.5,-64.75,-35.5,-64.75,7596
178,AR: Buenos Aires-Rojas,-34.25,-60.75,-34.25,-60.75,2663
179,AR: La Pampa-Loventué,-36.5,-65.5,-36.5,-65.5,2614
180,AR: Buenos Aires-Lincoln,-34.86833333333333,-61.529444444444444,-34.86833333333333,-61.529444444444444,19633
181,AR: Formosa-Matacos,-23.833333333333332,-62.166666666666664,-23.833333333333332,-62.166666666666664,852
182,AR: Santa Fé-Iriondo,-32.63333333333333,-61.333333333333336,-32.63333333333333,-61.333333333333336,3934
183,AR: Mendoza-Tunuyán,-33.666666666666664,-69.5,-33.666666666666664,-69.5,9028
184,AR: Buenos Aires-Las Flores,-36.083333333333336,-59.083333333333336,-36.083333333333336,-59.083333333333336,10547
185,AR: Misiones-Puerto Iguazú,-25.598888888888887,-54.57333333333334,-25.598888888888887,-54.57333333333334,5393
186,AR: Buenos Aires-Salliqueló,-36.666666666666664,-63.083333333333336,-36.666666666666664,-63.083333333333336,18990
187,AR: Mendoza-Tupungato,-33.25,-69.25,-33.25,-69.25,2320
188,AR: Buenos Aires-General Viamonte,-35.0,-61.0,-35.0,-61.0,2689
189,AR: Corrientes-Goya,-29.139722222222222,-59.263333333333335,-29.139722222222222,-59.263333333333335,3147
190,AR: Buenos Aires-25 de Mayo,-35.5,-60.25,-35.5,-60.25,5960
191,AR: Buenos Aires-Ramallo,-33.5,-60.083333333333336,-33.5,-60.083333333333336,2360
192,AR: Entre Ríos-Gualeguay,-33.0,-59.583333333333336,-33.0,-59.583333333333336,2456
