,City,Latitude,Longitude,avg_d_kbps,avg_u_kbps,avg_lat_ms
103,AR: Buenos Aires-La Matanza-San Justo,-34.67638888888889,-58.56055555555555,58497,28760,7
104,AR: Buenos Aires-Benito JuÃ¡rez,-37.5,-59.916666666666664,13390,16389,31
105,AR: Buenos Aires-Ezeiza (GBA),0.0,0.0,29513,31213,23
106,AR: Jujuy-Dr. Manuel Belgrano,0.0,0.0,29513,31213,23
107,AR: Misiones-Eldorado,-26.40833333333333,-54.69444444444444,51674,43034,8
108,AR: Buenos Aires-Pinamar,-37.11027777777778,-56.855000000000004,19844,7237,29
109,AR: Buenos Aires-Tandil,-37.32166666666667,-59.13305555555556,79969,35450,16
110,AR: Chaco-Comandante FernÃ¡ndez,-26.833333333333332,-60.5,55545,15082,2
111,AR: Entre RÃ­os-FederaciÃ³n,-30.75027777777778,-57.97944444444445,9639,2566,26
112,AR: Buenos Aires-12 de Octubre,-35.606944444444444,-60.91777777777777,4972,1410,22
113,AR: Misiones-GuaranÃ­,-27.166666666666668,-54.166666666666664,2175,988,28
114,AR: CÃ³rdoba-RÃ­o Primero,-31.083333333333332,-63.5,14858,12549,9
115,AR: Buenos Aires-ZÃ¡rate,-34.09805555555556,-59.02833333333333,36458,4979,15
116,AR: Buenos Aires-LujÃ¡n,-34.57027777777778,-59.105000000000004,32185,7600,10
117,AR: Buenos Aires-Mercedes,-34.65138888888889,-59.43055555555555,26350,4902,15
118,AR: RÃ­o Negro-Pichi Mahuida,-39.5,-64.5,29132,28508,3
119,AR: Santa FÃ©-Santa FÃ©,-31.648611111111112,-60.70861111111111,36855,7021,19
120,AR: Santa FÃ©-General Obligado,-28.75,-59.75,9051,7479,16
121,AR: Buenos Aires-San AndrÃ©s de Giles,-34.5,-59.5,7911,3900,7
122,AR: Misiones-Candelaria,-27.5,-55.5,606,540,100
123,AR: Buenos Aires-San NicolÃ¡s,-33.33416666666667,-60.21055555555556,51583,7646,14
124,AR: San Juan-JÃ¡chal,-30.5,-68.5,4281,1626,53
125,AR: TucumÃ¡n-Bella vista,-27.034166666666668,-65.30194444444444,7344,1024,27
126,AR: Mendoza-Las Heras,-32.65361111111111,-70.01138888888889,65125,91938,6
127,AR: NeuquÃ©n-Huiliches,-39.75,-71.33333333333333,4662,480,43
128,AR: Catamarca-Valle Viejo,-28.583333333333332,-65.75,18310,18009,13
129,AR: La Rioja-Chilecito,-29.416666666666668,-67.5,3937,1559,21
130,AR: Chubut-Gaiman,-43.333333333333336,-66.33333333333333,3839,2377,65
131,AR: Salta-General GÃ¼emes,-24.794444444444448,-64.94388888888889,4765,738,35
132,AR: CÃ³rdoba-Calamuchita,-32.25,-64.58333333333333,5841,1775,39
133,AR: Santa Cruz-Lago Argentino,-50.21666666666667,-72.41666666666667,2212,812,80
134,AR: San Luis-General Pedernera,-33.833333333333336,-65.58333333333333,5890,6329,10
135,AR: Buenos Aires-Trenque Lauquen,-36.0,-62.666666666666664,3385,726,27
136,AR: Buenos Aires-Chivilcoy,-34.89555555555555,-60.016666666666666,54588,6262,24
137,AR: Entre RÃ­os-ConcepciÃ³n del Uruguay,-32.48444444444444,-58.231944444444444,28319,7037,13
138,AR: Buenos Aires-Chacabuco,-34.666666666666664,-60.333333333333336,7826,707,15
139,AR: Buenos Aires-Baradero,-33.833333333333336,-59.5,2295,305,18
140,AR: Entre RÃ­os-Villaguay,-31.583333333333332,-59.0,2193,1915,34
141,AR: Misiones-San Ignacio,-27.25,-55.333333333333336,7650,2680,12
142,AR: RÃ­o Negro-Pilcaniyeu,-40.75,-70.5,1914,1279,56
143,AR: Santiago del Estero-RÃ­o Hondo-JimÃ©nez,-27.572499999999998,-64.47666666666667,2727,463,37
144,AR: La Pampa-Conhelo,-36.0,-64.5,2784,1847,39
145,AR: Buenos Aires-General Villegas,-34.75,-63.0,8847,4160,22
146,AR: Chubut-Biedma,-42.416666666666664,-65.0,24841,2074,26
147,AR: Buenos Aires-Belgrano,-34.5625,-58.45805555555556,73486,9347,15
148,AR: Tierra del Fuego-Ushuaia,-54.81083333333333,-68.31583333333333,11791,595,30
149,AR: Buenos Aires-OlavarrÃ­a,-36.8925,-60.322500000000005,46067,5949,46
150,AR: Entre RÃ­os-Islas del Ibicuy,-33.723888888888894,-58.659444444444446,23444,4862,59
151,AR: Jujuy-El Carmen,-24.392777777777777,-65.09777777777778,23808,7246,5
152,AR: Mendoza-Rivadavia,-33.18,-68.46583333333334,16742,18065,4
153,AR: Chubut-Rawson,-43.3,-65.10222222222221,6437,1060,56
154,AR: Buenos Aires-Coronel de Marina L. Rosales,0.0,0.0,29513,31213,23
155,AR: Buenos Aires-CaÃ±uelas,-35.083333333333336,-58.75,12140,617,46
156,AR: Misiones-Leandro N. Alem,-27.566666666666666,-55.333333333333336,6207,2465,16
157,AR: Santa Cruz-GÃ¼er Aike,-51.333333333333336,-70.33333333333333,2678,953,23
158,AR: Catamarca-Ambato,-28.0,-65.91666666666667,1079,227,28
159,AR: Misiones-RepÃºblica del Paraguay-AristÃ³bulo del Valle-Iglesia,0.0,0.0,29513,31213,23
160,AR: Buenos Aires-ExaltaciÃ³n de la Cruz,-34.25,-59.25,8120,1886,5
161,AR: RÃ­o Negro-Carmen de Patagones,0.0,0.0,29513,31213,23
162,AR: Formosa-Pilcomayo,-25.5,-58.083333333333336,10139,5675,85
163,AR: Buenos Aires-Coronel Pringles,-38.25,-61.333333333333336,18649,5215,6
164,AR: Corrientes-Esquina,-30.0,-59.333333333333336,1079,924,8
165,AR: Catamarca-Fray Mamerto EsquiÃº,-28.3,-65.75,2686,218,37
166,AR: Chaco-Grl. JosÃ© de San MartÃ­n,0.0,0.0,29513,31213,23
167,AR: CÃ³rdoba-Marcos JuÃ¡rez-Cruz Alta,-33.00861111111111,-61.80722222222222,8858,2000,31
168,AR: Buenos Aires-General Rodriguez,-34.666666666666664,-59.0,2183,1774,49
169,AR: Santa FÃ©-San Lorenzo,-33.0,-61.0,2706,1617,6
170,AR: Buenos Aires-Balcarce,-37.75,-58.25,14198,4102,43
171,AR: Misiones-Libertador General San MartÃ­n-San Alberto,-26.80888888888889,-55.021388888888886,7279,3109,24
172,AR: La Rioja-Rosario Vera PeÃ±aloza,-31.416666666666668,-66.66666666666667,24585,1428,45
173,AR: NeuquÃ©n-LÃ¡car,-40.25,-71.2,1730,566,37
174,AR: TucumÃ¡n-Chicligasta,-27.333333333333332,-65.58333333333333,7420,581,25
175,AR: Buenos Aires-San NicolÃ¡s-Plaza Lavalle,0.0,0.0,29513,31213,23
176,AR: Salta-Rosario de Lerma,-24.583333333333332,-65.83333333333333,787,106,89
177,AR: La Pampa-Rancul,-35.5,-64.75,1949,792,15
178,AR: Buenos Aires-Rojas,-34.25,-60.75,4844,1356,28
179,AR: La Pampa-LoventuÃ©,-36.5,-65.5,5291,2851,22
180,AR: Buenos Aires-Lincoln,-34.86638888888889,-61.53,18381,5844,23
181,AR: Formosa-Matacos,-23.833333333333332,-62.166666666666664,10032,4480,36
182,AR: Santa FÃ©-Iriondo,-32.63333333333333,-61.333333333333336,24735,10337,16
183,AR: Mendoza-TunuyÃ¡n,-33.666666666666664,-69.5,1233,409,65
184,AR: Buenos Aires-Las Flores,-36.06638888888889,-59.10444444444445,5769,3848,3
185,AR: Misiones-Puerto IguazÃº,-25.598888888888887,-54.57333333333334,9075,7004,42
186,AR: Buenos Aires-SalliquelÃ³,-36.666666666666664,-63.083333333333336,2335,2368,46
187,AR: Mendoza-Tupungato,-33.25,-69.25,3128,463,21
188,AR: Buenos Aires-General Viamonte,-35.0,-61.0,8454,3719,76
189,AR: Corrientes-Goya,-29.139722222222222,-59.263333333333335,8995,3869,37
190,AR: Buenos Aires-25 de Mayo,-35.5,-60.25,3503,914,54
191,AR: Buenos Aires-Ramallo,-33.5,-60.083333333333336,13241,3225,70
192,AR: Entre RÃ­os-Gualeguay,-33.0,-59.583333333333336,4333,3888,15
193,AR: Chubut-Sarmiento,-45.333333333333336,-69.0,2395,515,60
194,AR: La Rioja-General Ocampo,-31.0,-66.25,13089,1773,42
195,AR: Buenos Aires-Tordillo,-36.5,-57.25,8535,2439,10
196,AR: Formosa-Formosa,-26.184722222222224,-58.17305555555555,59007,10845,141
197,AR: La Pampa-Santa Rosa,-36.61666666666667,-64.28333333333333,29196,5971,27
198,AR: Corrientes-Paso de los Libres,-29.689166666666665,-57.151944444444446,1096,239,167
199,AR: Buenos Aires-Tornquist,-38.25,-62.25,5585,1014,31
200,AR: Buenos Aires-Coronel Dorrego,-38.666666666666664,-61.166666666666664,27899,355,1102
201,BO: Beni-Trinidad,-14.833333333333334,-64.9,14859,14768,19
202,BO: Beni-Riberalta,-11.01,-66.0525,3017,253,17
203,BO: Cochabamba-Nueva Galilea,0.0,0.0,29513,31213,23
204,BO: Chuquisaca-Sucre,-19.033055555555556,-65.2625,14919,5844,19
205,BO: Chuquisaca-Surima,-19.026944444444442,-64.86777777777777,10006,4591,17
206,BO: Chuquisaca-Nor Cinti-San Lucas-Padcoyo,0.0,0.0,29513,31213,23
207,BO: Cochabamba-Cochabamba,-17.389444444444443,-66.15666666666667,15836,8738,13
208,BO: Cochabamba-Sacaba,-17.397777777777776,-66.03805555555556,17002,11587,21
209,BO: Cochabamba-Quillacollo,-17.392222222222223,-66.27833333333334,15757,7522,42
210,BO: Cochabamba-Ivirgarzama,-17.050833333333333,-64.86583333333333,5088,2697,18
211,BO: Cochabamba-Arachaca,0.0,0.0,29513,31213,23
212,BO: Cochabamba-Chinchilla,0.0,0.0,29513,31213,23
213,BO: Cochabamba-Pocona,-17.65,-65.4,12592,5717,19
214,BO: Cochabamba-Tutimayu,0.0,0.0,29513,31213,23
215,BO: La Paz-La Paz,-16.5,-68.15,16055,6187,18
216,BO: La Paz-El Alto,-16.513333333333332,-68.19222222222223,15365,5624,13
217,BO: La Paz-Patacamaya,-17.23611111111111,-67.91416666666667,19296,11540,5
218,BO: La Paz-Cairoma,-16.9,-67.55,10921,951,33
219,BO: La Paz-Inquisivi,-16.95777777777778,-67.1563888888889,10921,951,33
220,BO: La Paz-San Antonio,-15.324444444444444,-67.52194444444444,2954,1415,799
221,BO: Santa Cruz-San Carlos-Santa Fe,0.0,0.0,29513,31213,23
222,BO: La Paz-Taipiplaya,-15.833333333333334,-67.6,12160,8788,12
223,BO: Oruro-Oruro,-17.983333333333334,-67.15,13704,4383,23
224,BO: La Paz-Antequera,-17.666666666666668,-68.11666666666666,26270,40573,12
225,BO: Pando-Cobija,-11.026666666666667,-68.76916666666666,10875,7594,20
226,BO: PotosÃ­-TomÃ¡s FrÃ­as-Yocalla-Santa LucÃ­a,0.0,0.0,29513,31213,23
227,BO: PotosÃ­-PotosÃ­,-19.58361111111111,-65.75305555555556,15525,7845,22
228,BO: PotosÃ­-Llallagua,-18.424722222222222,-66.57777777777777,13883,9770,34
229,BO: PotosÃ­-Tinguipaya,-19.22,-65.82277777777777,6079,65697,15
230,BO: PotosÃ­-Ravelo,-18.80666666666667,-65.51166666666667,631,5175,24
231,BO: PotosÃ­-Tecoya,-19.5,-65.46666666666667,14455,7125,11
232,BO: Santa Cruz-Santa Cruz de la Sierra,-17.78611111111111,-63.18111111111111,21827,7844,10
233,BO: Santa Cruz-Montero,-17.33861111111111,-63.25083333333333,15975,5904,11
234,BO: Santa Cruz-La Guardia,-17.8925,-63.29222222222222,16878,8387,6
235,BO: Santa Cruz-AscensiÃ³n de Guarayos,0.0,0.0,29513,31213,23
236,BO: Santa Cruz-Las Barreras,-17.454166666666666,-63.17972222222222,19698,8705,9
237,BO: Santa Cruz-Don Lorenzo,-17.783333333333335,-62.86666666666667,788,1930,19
238,BO: Santa Cruz-Paurito,-17.880833333333335,-62.94138888888889,2736,884,38
239,BO: Santa Cruz-La Asunta,-17.65,-61.63333333333333,5615,1756,64
240,BO: Tarija-Tarija,-21.53527777777778,-64.72944444444444,15779,7892,94
241,BO: Tarija-Yacuiba,-22.01638888888889,-63.677499999999995,16231,9299,57
242,BO: Tarija-Villa El Carmen,-21.78805555555556,-63.57361111111111,6887,6678,56
243,BR: Norte-Porto Velho,-8.761944444444444,-63.903888888888886,109644,44551,11
244,BR: Sudeste-Moji Das Cruzes,-23.522777777777776,-46.18833333333333,82666,40756,18
245,BR: Sudeste-Espirito Santo-Muqui,-20.915,-41.30083333333333,46636,40585,2
246,BR: Sul-Curitiba,-25.42777777777778,-49.27305555555555,83363,33827,18
247,BR: Sudeste-Rio De Janeiro,-22.906388888888888,-43.18222222222222,27664,17465,11
248,BR: Sudeste-UberlÃ¢ndia,-18.91861111111111,-48.27722222222222,93198,42314,15
249,BR: Sudeste-SÃ£o Paulo-GaviÃ£o,-21.808611111111112,-48.46888888888889,73271,88368,4
250,BR: Nordeste-Salvador,-12.975555555555555,-38.490833333333335,80458,48964,6
251,BR: Sudeste-Serra,-23.716944444444444,-46.84916666666667,78826,12086,15
252,BR: Sudeste-SÃ£o Paulo,-23.547500000000003,-46.63611111111111,92254,62321,10
253,BR: Sul-SÃ£o Leopoldo,-29.760277777777777,-51.14722222222222,92502,70805,11
254,BR: Nordeste-Fortaleza,-3.7172222222222224,-38.543055555555554,90547,50790,10
255,BR: Sudeste-SÃ£o Paulo-Cajamar,-23.351666666666667,-46.88111111111111,24898,15941,2
256,BR: Sudeste-Guarulhos,-23.462777777777777,-46.53333333333333,84730,33337,9
257,BR: Nordeste-Ipueiras,-4.621111111111111,-40.82166666666667,2203,4149,149
258,BR: Sudeste-SÃ£o Paulo-Osasco,-23.5325,-46.791666666666664,79581,31262,11
259,BR: Nordeste-Piripiri,-4.273333333333333,-41.776944444444446,49841,45499,6
260,BR: Centro Oeste-Mato Grosso-Nova MarilÃ¢ndia,-14.3125,-57.26083333333333,879,1035,1131
261,BR: Norte-ParÃ¡-Benevides,-1.361388888888889,-48.24472222222222,88185,106943,53
262,BR: Sudeste-SÃ£o Bernardo Do Campo,-23.69388888888889,-46.565,88453,31287,12
263,BR: Sudeste-SÃ£o Paulo-Limeira,-22.564722222222223,-47.401666666666664,87434,31702,9
264,BR: Norte-Manaus,-3.1019444444444444,-60.025,102919,55602,9
265,BR: Norte-MarabÃ¡,-5.381388888888888,-49.132222222222225,73177,44365,63
266,BR: Sudeste-SertÃ£ozinho,-21.137777777777778,-47.99027777777778,82574,27706,14
267,BR: Sudeste-SÃ£o JoÃ£o Da Boa Vista,-21.969166666666666,-46.79805555555556,53525,36091,17
268,BR: Sul-Cachoeira do Sul,-30.039166666666667,-52.89388888888889,30830,21665,15
269,BR: Sudeste-Sorocaba,-23.501666666666665,-47.45805555555556,69228,24781,13
270,BR: Nordeste-PiauÃ­-Passagem Franca,-5.827222222222222,-42.405833333333334,17365,9743,14
271,BR: Sudeste-Diadema,-23.68611111111111,-46.62277777777778,85315,28475,11
272,BR: Sudeste-Campinas,-22.905555555555555,-47.06083333333333,91160,38444,19
273,BR: Nordeste-MaranhÃ£o-Santo Amaro do MaranhÃ£o,-2.62,-43.165,10398,8294,11
274,BR: Centro Oeste-GoiÃ¡s-Santa Rosa de GoiÃ¡s,-16.06972222222222,-49.481388888888894,6512,4616,45
275,BR: Norte-AraguaÃ­na,-7.191111111111112,-48.20722222222223,66090,29703,4
276,BR: Nordeste-BahÃ­a-Vera Cruz,-13.025277777777779,-38.70888888888889,18364,10034,3
277,BR: Sudeste-SÃ£o Paulo-OrlÃ¢ndia,-20.68888888888889,-47.89527777777778,15590,7761,14
278,BR: Sudeste-Governador Valadares,-18.851111111111113,-41.94944444444444,90788,42463,9
279,BR: Norte-BraganÃ§a,-1.053611111111111,-46.76555555555556,88451,85377,14
280,BR: Sul-Caxias Do Sul,-29.168055555555558,-51.17944444444444,56353,26279,20
281,BR: Nordeste-Feira De Santana,-12.266666666666667,-38.96666666666667,56361,34688,8
282,BR: Sul-Colombo,-25.291666666666668,-49.22416666666667,83758,37305,8
283,BR: Centro Oeste-Planaltina,-15.452777777777778,-47.61416666666667,27211,15429,6
284,BR: Nordeste-Pacajus,-4.1775,-38.518055555555556,43483,50836,19
285,BR: Sul-Cascavel,-24.95583333333333,-53.45527777777778,110947,57860,12
286,BR: Centro Oeste-BrasÃ­lia,-15.0,-52.0,4206,7090,28
287,BR: Centro Oeste-GoioerÃª-Campina da Lagoa,0.0,0.0,29513,31213,23
288,BR: Centro Oeste-Mato Grosso do Sul-Ponta PorÃ£,-22.53611111111111,-55.72555555555556,47373,33298,24
289,BR: Sul-Rio Grande-Rondinha,-27.83277777777778,-52.91638888888889,23491,9834,3
290,BR: Sul-SÃ£o JosÃ© Dos Pinhais,-25.529999999999998,-49.208333333333336,124996,41081,11
291,BR: Sudeste-AraÃ§atuba,-21.20888888888889,-50.43277777777777,75762,39714,16
292,BR: Nordeste-Rio Grande del Norte-MossorÃ³,-5.1875,-37.344166666666666,31518,26333,16
293,BR: Sudeste-GuarujÃ¡,-23.993055555555557,-46.256388888888885,57683,29162,23
294,BR: Nordeste-Itabuna,-14.785555555555556,-39.280277777777776,76224,49796,14
295,BR: Sul-Santa Catarina-Lebon RÃ©gis,-26.884999999999998,-50.67805555555555,17992,4897,5
296,BR: Nordeste-Paulista,-7.940833333333334,-34.87305555555555,48886,38452,3
297,BR: Norte-BelÃ©m,-1.4558333333333333,-48.504444444444445,123508,71711,27
298,BR: Nordeste-JaboatÃ£o Dos Guararapes,-8.112777777777778,-35.014722222222225,43051,28208,6
299,BR: Sudeste-Santo AndrÃ©,-23.663888888888888,-46.538333333333334,86598,41272,11
300,BR: Sudeste-Belo Horizonte,-19.920833333333334,-43.937777777777775,81637,21172,14
301,BR: Sudeste-Bauru,-22.314722222222223,-49.06055555555555,57340,26173,16
